Atlas farm;Lola;2;60;50000;3000000;2480000;520000
Xushnudbek Farm;Chust ;2;10;50000;500000;500000;0
immunal Farm;Chust ;2;6;50000;300000;0;300000
Humoyun Shifo;Chust ;2;10;50000;500000;300000;200000
Doktor Farm med Shoxrux;Kosonsoy;2;37;50000;1850000;1200000;650000
Arximed Farm Abdurahmon;Turaqo'rg'on ;2;7;50000;350000;350000;0
Nayimjon Sirojiddin Farm;Turaqo'rg'on ;2;39;50000;1950000;1950000;0
Abdurauf Komleks Farm;Kosonsoy;2;14;50000;700000;700000;0
SN Shifo;Davlatobod ;2;30;48000;1440000;480000;960000
Fayz Ziyo Med;Lola ;2;100;35000;3500000;2795000;705000
Nam Lola Farm;Lola ;2;40;50000;2000000;1550000;450000
Do'stlik Savdo Farm;Turaqo'rg'on ;2;7;50000;350000;350000;0
brend Nur E'zoz shifo;Uychi;2;185;50000;9250000;8150000;1100000
Beshyulduz Med Farm;Uychi;2;382;50000;19100000;17550000;1550000
Med Lyuks Abror Muhammad;Lola;2;165;50000;8250000;6200000;2050000
Mustafo Med feruza vrach;Lola ;2;25;50000;1250000;900000;350000
Azamat Roz farm;Lola ;2;60;50000;3000000;2860000;140000
Saidakbar Farm;Lola ;2;35;50000;1750000;1150000;600000
Norin Mobil Aloqa;Uychi;2;5;50000;250000;250000;0
Asmir Farm Apteka;Uychi;2;115;50000;5750000;3330000;2420000
Xursandbek Muhammad Mustafo Med;Lola ;2;10;50000;500000;0;500000
Elyorbek Medical Lider;Turaqo'rg'on ;2;5;50000;250000;250000;0
Rayhon;lola;2;15;50000;750000;250000;500000
Husniddin Medical;Mingbuloq ;2;37;27000;999000;900000;99000
BMJ Ideal Group;Turaqo'rg'on ;2;5;50000;250000;250000;0
Karimjon Jahon Farm;Ko'lhovuz;2;2;50000;100000;100000;0
Birlashgan Med Farm;Uychi;2;5;50000;250000;0;250000
Xizr shifo;Uychi;2;5;50000;250000;0;250000
Sug'diyona DD;uychi;2;5;50000;250000;0;250000
Muzaffar Ibrohim;Turaqo'rg'on ;2;10;50000;500000;0;500000
Muzaffar Ibrohim 32;Turaqo'rg'on ;2;40;32000;1280000;0;1280000
Brend miks;Turaqo'rg'on ;2;10;50000;500000;0;500000
Malika aptekasi;Uychi;2;16;50000;800000;200000;600000
Globus Farm;Uychi;2;50;50000;2500000;2000000;500000
Globus asosiy;namangan ;2;50;50000;2500000;1250000;1250000
Omad farm;lola;2;10;50000;500000;0;500000
Global Apteka;Lola;2;10;50000;500000;0;500000
Marhabo shifo;Uychi;2;50;50000;2500000;1875000;625000
Umida Terapevt;Uychi;2;5;50000;250000;0;250000
Shoxrux farm;Kosonsoy;2;115;50000;5750000;2600000;3150000
Kompas;Kosonsoy;2;70;50000;3500000;2200000;1300000
Ash Shifo;Kosonsoy;2;0;50000;0;0;0
Oydin shifo;namangan ;2;10;50000;500000;0;500000
Mega plus Kamolxon , Neo Med;go'zal;2;40;50000;2000000;1000000;1000000
Med Layf Guanjou;namangan ;2;30;50000;1500000;0;1500000
Meor;namangan ;2;55;50000;2750000;1750000;1000000
Glyukoza;namangan ;2;10;50000;500000;0;500000
Ahmadjon Tabib o'g'illari;namangan ;2;15;50000;750000;0;750000
Shuhrat Shifo Suv;Davlatobod ;2;20;50000;1000000;500000;500000
Imkon shifo med;go'zal;2;4;50000;200000;0;200000
Nam Med Farm;go'zal;2;10;50000;500000;0;500000
