Farm standart 6-shaxobcha Muslima;Asaka ;2;130;35000;4550000;4000000;550000
Xurshida Farm Farrux;asaka ;2;26;50000;1300000;1050000;250000
Rayona Farm Ozodbek;Asaka ;2;1;50000;50000;50000;0
Med Farm Faridaxon;Asaka ;2;50;50000;2500000;2300000;200000
DD 68 Umidaka;Shahrixon ;2;103;50000;5150000;3650000;1500000
Sintez Farm Bahromjon;Vadil;2;1;50000;50000;0;50000
Umirjon Umidjon Fayz Jahongir;Vadil;2;80;50000;4000000;3000000;1000000
Nurshod Farm Sohibaka;vadil;2;20;50000;1000000;700000;300000
Humo Layn;Vadil;2;10;50000;500000;100000;400000
Imona Kibori;Vadil;2;60;50000;3000000;1500000;1500000
Dori Darmon 38 Umarali;Asaka ;2;20;50000;1000000;700000;300000
Gigiyena 2020 Umidaxon;Marhamat ;2;150;50000;7500000;7000000;500000
ERSH Shifo Zafarbek 911;Marhamat ;2;140;50000;7000000;6000000;1000000
Ziyo Kavsar Sohiba;qorasuv ;2;90;50000;4500000;3050000;1450000
Shohbobur Farrux;log'on ;2;92;50000;4600000;3450000;1150000
777 Umidaka;log'on ;2;60;50000;3000000;2260000;740000
DD 224 Omatoy;oltinko'l ;2;10;50000;500000;0;500000
DD 33 Gulzoda opa;Asaka ;2;215;50000;10750000;9949000;801000
Nurshod Farm Ziyoda;Vadil;2;5;50000;250000;0;250000
Sardor Imron Oygul;Vadil;2;15;50000;750000;600000;150000
Sardor Imron Maftuna;vadil;2;10;50000;500000;265000;235000
Nurshod Farm 2 Javohir;vadil ;2;59;50000;2950000;2950000;0
DD 3 Jabborali;Asaka ;2;35;50000;1750000;200000;1550000
Dori market Rahmiddinaka;Shahrixon ;2;9;50000;450000;450000;0
77 Muhammadaziz Nigora;Chinobod;2;100;50000;5000000;5000000;0
Rohatijon Farm;qorasuv ;2;2;50000;100000;100000;0
Numonjon Farm Javlonbek;Shahrixon ;2;40;50000;2000000;1500000;500000
Fayz Sog'lom Hayot;Shahrixon ;2;10;50000;500000;375000;125000
Farxod Farm Farxodjon;Asaka ;2;70;50000;3500000;2500000;1000000
Merkuriy 2-fillial Dilshod;Shahrixon ;2;5;50000;250000;0;250000
888 Moviy Ummon Hasanboy;Chinobod;2;50;50000;2500000;500000;2000000
Shohjahon Ayubxon Farm;Asaka ;2;130;50000;6500000;5500000;1000000
Far Shafo Nur;Avval ;2;20;50000;1000000;445000;555000
Sayidavlod MChJ;Asaka ;2;20;50000;1000000;600000;400000
Shabnam;vadil;2;5;50000;250000;250000;0
Saidaxon Fayz Hojiakbar;Marhamat ;2;50;50000;2500000;1150000;1350000
Ziyo Farm Hamzabek;Asaka ;2;10;50000;500000;250000;250000
Apteka 222;Asaka ;2;10;50000;500000;350000;150000
Gulnora Farm;Asaka ;2;30;50000;1500000;600000;900000
Darmon Farm Sherzod;Asaka ;2;10;50000;500000;200000;300000
Zilola;andijon ;2;680;50000;34000000;5125000;28875000
Zilola 35;andijon ;2;80;35000;2800000;0;2800000
Farm standart Shoxrux ;andijon ;2;20;50000;1000000;462000;538000
Ko'z klinikasi;andijon ;2;200;50000;10000000;0;10000000
Nurshod Farm Javohir 35;vadil;2;140;35000;4900000;3050000;1850000
Tursunova Maxfuza;oltinko'l ;2;17;50000;850000;850000;0
DD 38 Umarali 35;Asaka ;2;40;35000;1400000;1265000;135000
Olimaka Xususiy Mohigul;andijon ;2;20;50000;1000000;380000;620000
Bitner Dildora;andijon ;2;23;50000;1150000;500000;650000
Hayraton 21;Marhamat ;2;30;50000;1500000;1000000;500000
911 Oybek;Marhamat ;2;40;50000;2000000;1000000;1000000
Baxtigul Malham;Asaka ;2;10;50000;500000;220000;280000
Asaka shifo poshshaxon opa;asaka ;2;20;50000;1000000;0;1000000
Vodiy Farm Invest;Shahrixon ;2;5;50000;250000;0;250000
Dori Darmon servis;Shahrixon ;2;5;50000;250000;0;250000
Solih med savdo Nigora;Asaka ;2;5;50000;250000;0;250000
